x,y,z
-0.061,0.366,-1.038
3.845,-3.357,34.729
-5.859,4.517,-31.921
-15.32,19.592,-30.09
-0.977,-2.991,9.155
-7.324,-1.953,-7.385
-8.911,-1.465,-0.854
4.089,-6.348,16.296
0.427,-1.831,-0.061
27.222,-28.32,105.469
9.644,-13.794,49.866
-2.38,19.348,-17.212
-0.183,3.418,-12.085
5.554,-7.629,45.044
-6.165,8.789,-26.062
-0.244,8.24,-10.559
-0.916,3.845,-27.466
0.61,-6.592,8.484
-0.183,-10.071,7.874
0.732,-4.395,4.456
1.221,-1.16,3.235
0.854,-1.831,2.319
0.305,0.305,-0.671
-2.136,-1.587,0.183
-4.211,-0.793,-28.259
-2.808,0.549,-8.545
-0.305,0.427,-1.648
-1.526,-2.014,-2.625
17.029,-2.014,55.603
7.935,-4.944,-3.235
-2.747,-18.005,-8.972
-3.418,-2.38,-0.305
-0.977,-2.258,1.099
1.038,-3.113,0.61
0.244,-0.366,-2.014
2.747,-2.747,1.16
0.183,-1.16,0.61
10.498,15.93,-16.724
-5.554,3.235,2.502
-2.747,5.31,-17.151
0.671,-0.122,-5.859
0.305,-0.793,-0.488
-0.671,-1.038,0.183
-0.488,-0.122,0.122
1.465,-4.761,1.099
-0.977,1.099,-1.892
0.0,1.892,-3.235
0.427,-2.38,0.732
-0.122,1.587,-4.211
1.282,-0.305,-1.16
0.793,-1.099,-1.404
-4.639,-1.587,10.132
0.244,-4.578,1.892
1.587,-12.207,20.081
2.014,7.019,-11.292
2.258,-4.333,4.333
5.92,42.847,140.93
17.639,0.427,-25.452
-23.987,-6.897,2.686
19.409,1.892,-15.991
0.244,-1.404,-0.854
7.996,-0.732,2.38
-1.953,-4.211,0.977
30.151,-3.723,-40.71
-9.033,50.049,18.738
2.014,39.246,-28.32
-4.028,-9.033,-16.541
-10.437,-5.554,1.221
-7.141,31.799,-84.045
1.892,3.479,-22.705
3.662,17.639,23.438
-1.404,-2.563,-11.963
2.38,-6.47,-0.793
0.732,-11.963,-3.662
55.664,14.526,7.568
0.061,49.805,-30.884
3.174,20.752,-15.137
-17.334,-14.282,4.639
2.808,22.4,-15.32
1.282,-0.549,-24.963
-1.099,5.798,11.047
-8.24,-6.958,20.813
6.775,0.122,-5.31
2.075,20.996,-12.268
-2.014,-5.066,4.028
-2.686,28.625,13.977
8.728,21.24,0.671
21.667,8.545,96.619
-2.441,4.211,-1.16
0.732,0.854,-2.075
-22.339,-5.493,20.081
-6.958,-19.836,31.616
-12.451,-9.583,9.277
0.977,-1.892,-16.113
-3.296,0.977,-1.831
0.061,-15.198,-2.38
-6.409,-5.554,20.203
-17.7,-39.246,66.528
-7.202,-19.043,32.471
7.69,4.7,27.893
7.446,-14.709,-18.372
5.737,-22.827,-32.532
11.414,24.353,-25.635
59.265,-50.293,40.649
6.287,-26.245,12.451
-93.079,13.855,-51.208
-0.244,-6.653,6.836
0.244,-3.54,10.986
5.92,7.996,-17.273
10.62,37.598,-2.563
-0.977,-5.554,21.545
3.479,11.902,-15.625
-3.54,-6.165,-7.629
3.479,10.071,12.878
3.174,10.376,6.287
2.075,-2.686,6.042
-6.775,-6.775,-14.526
