time,value
2025-04-10T03:17:34.77654046Z,-0.9947662353515625
2025-04-10T03:17:35.782401775Z,-0.997039794921875
2025-04-10T03:17:36.781377911Z,-0.994842529296875
2025-04-10T03:17:37.784209874Z,-0.99420166015625
2025-04-10T03:17:38.782927259Z,-0.996978759765625
2025-04-10T03:17:39.787291339Z,-0.9947967529296875
2025-04-10T03:17:40.794378831Z,-0.9971771240234375
2025-04-10T03:17:41.79005191Z,-0.99591064453125
2025-04-10T03:17:42.789612275Z,-0.99786376953125
2025-04-10T03:17:43.794946394Z,-0.99688720703125
2025-04-10T03:17:44.796535711Z,-0.9969940185546875
2025-04-10T03:17:45.798859129Z,-0.9963226318359375
2025-04-10T03:17:46.802842248Z,-0.9953460693359375
2025-04-10T03:17:47.803342792Z,-0.995025634765625
2025-04-10T03:17:48.804344686Z,-0.995697021484375
2025-04-10T03:17:49.807217899Z,-0.9959869384765625
2025-04-10T03:17:50.808828877Z,-0.996063232421875
2025-04-10T03:17:51.809954942Z,-0.99591064453125
2025-04-10T03:17:52.811507169Z,-0.9951171875
2025-04-10T03:17:53.815567971Z,-0.99615478515625
2025-04-10T03:17:54.813669331Z,-0.9961395263671875
2025-04-10T03:17:55.817229625Z,-0.9969024658203125
2025-04-10T03:17:56.82163499Z,-0.995849609375
2025-04-10T03:17:57.817831708Z,-0.9964752197265625
2025-04-10T03:17:58.822416482Z,-0.994659423828125
2025-04-10T03:17:59.826536549Z,-0.995819091796875
2025-04-10T03:18:00.828672319Z,-0.996612548828125
2025-04-10T03:18:01.842068028Z,-0.9948883056640625
2025-04-10T03:18:02.859761221Z,-0.9969329833984375
2025-04-10T03:18:03.990177179Z,-0.99591064453125
2025-04-10T03:18:04.892707456Z,-0.9960784912109375
2025-04-10T03:18:05.911102245Z,-0.99603271484375
2025-04-10T03:18:06.928182286Z,-0.9963531494140625
2025-04-10T03:18:07.943500449Z,-0.9971771240234375
2025-04-10T03:18:08.959085802Z,-0.997711181640625
2025-04-10T03:18:09.975280384Z,-0.9952850341796875
2025-04-10T03:18:10.991731601Z,-0.996826171875
2025-04-10T03:18:12.007202526Z,-0.995208740234375
2025-04-10T03:18:13.024812504Z,-0.995147705078125
2025-04-10T03:18:14.04464111Z,-0.9962005615234375
2025-04-10T03:18:15.058594819Z,-0.99615478515625
2025-04-10T03:18:16.073986724Z,-0.994964599609375
2025-04-10T03:18:17.091792191Z,-0.9958953857421875
2025-04-10T03:18:18.109193895Z,-0.99627685546875
2025-04-10T03:18:19.12350594Z,-0.9964447021484375
2025-04-10T03:18:20.139609044Z,-0.9964447021484375
2025-04-10T03:18:21.158626113Z,-0.9964141845703125
2025-04-10T03:18:22.170896646Z,-0.9968109130859375
2025-04-10T03:18:23.191241263Z,-0.9967803955078125
2025-04-10T03:18:24.207543583Z,-0.9957275390625
2025-04-10T03:18:25.219007449Z,-0.9957275390625
2025-04-10T03:18:26.239777944Z,-0.9973602294921875
2025-04-10T03:18:27.256471315Z,-0.9964752197265625
2025-04-10T03:18:28.27332328Z,-0.996307373046875
2025-04-10T03:18:29.289842885Z,-0.9959564208984375
2025-04-10T03:18:30.301733529Z,-0.9956207275390625
2025-04-10T03:18:31.322075144Z,-0.986541748046875
2025-04-10T03:18:32.335659321Z,-0.9970550537109375
2025-04-10T03:18:33.353655327Z,-0.9976348876953125
2025-04-10T03:18:34.372344961Z,-0.9960479736328125
2025-04-10T03:18:35.389061395Z,-0.995758056640625
2025-04-10T03:18:36.404695562Z,-0.9956207275390625
2025-04-10T03:18:37.4204875Z,-0.9958343505859375
2025-04-10T03:18:38.43905426Z,-0.9965362548828125
2025-04-10T03:18:39.458025173Z,-0.996673583984375
2025-04-10T03:18:40.468729853Z,-0.9949951171875
2025-04-10T03:18:41.470418956Z,-0.9931182861328125
2025-04-10T03:18:42.471948484Z,-0.9961395263671875
2025-04-10T03:18:43.473143474Z,-0.9979400634765625
2025-04-10T03:18:44.477629541Z,-0.99530029296875
2025-04-10T03:18:45.472878118Z,-0.9954376220703125
2025-04-10T03:18:46.466347237Z,-0.996734619140625
2025-04-10T03:18:47.471629882Z,-0.995147705078125
2025-04-10T03:18:48.478638512Z,-0.99298095703125
2025-04-10T03:18:49.485330723Z,-0.9951324462890625
2025-04-10T03:18:50.489175525Z,-0.9954681396484375
2025-04-10T03:18:51.49031732Z,-0.9954071044921875
2025-04-10T03:18:52.490073045Z,-0.99566650390625
2025-04-10T03:18:53.494557559Z,-0.9942779541015625
2025-04-10T03:18:54.49848599Z,-0.995086669921875
2025-04-10T03:18:55.499610417Z,-0.996551513671875
2025-04-10T03:18:56.503161922Z,-0.9966888427734375
2025-04-10T03:18:57.504862942Z,-0.995819091796875
2025-04-10T03:18:58.503097842Z,-0.9959716796875
2025-04-10T03:18:59.510976781Z,-0.9958953857421875
2025-04-10T03:19:00.506875468Z,-0.9962615966796875
2025-04-10T03:19:01.512724766Z,-0.9959564208984375
2025-04-10T03:19:02.512282105Z,-0.9963836669921875
2025-04-10T03:19:03.518809067Z,-0.9951171875
2025-04-10T03:19:04.520097581Z,-0.9950103759765625
2025-04-10T03:19:05.52183212Z,-0.9956207275390625
2025-04-10T03:19:06.522969618Z,-0.9959259033203125
2025-04-10T03:19:07.524497672Z,-0.99560546875
2025-04-10T03:19:08.530133655Z,-0.9955902099609375
2025-04-10T03:19:09.531507117Z,-0.9931793212890625
2025-04-10T03:19:10.538645422Z,-0.99664306640625
2025-04-10T03:19:11.53847045Z,-0.9933624267578125
2025-04-10T03:19:12.539059992Z,-0.9947052001953125
2025-04-10T03:19:13.539774Z,-0.9964447021484375
2025-04-10T03:19:14.541499537Z,-0.99554443359375
2025-04-10T03:19:15.545443861Z,-0.995452880859375
2025-04-10T03:19:16.544685678Z,-0.9957733154296875
2025-04-10T03:19:17.551405205Z,-0.9950714111328125
2025-04-10T03:19:18.553261649Z,-0.9967193603515625
2025-04-10T03:19:19.554846741Z,-0.995758056640625
2025-04-10T03:19:20.553488774Z,-0.9951324462890625
2025-04-10T03:19:21.56166279Z,-0.99615478515625
2025-04-10T03:19:22.564711406Z,-0.996429443359375
2025-04-10T03:19:23.565530351Z,-0.995758056640625
2025-04-10T03:19:24.567923328Z,-0.9973602294921875
2025-04-10T03:19:25.565836227Z,-0.9973907470703125
2025-04-10T03:19:26.573613059Z,-0.9957122802734375
2025-04-10T03:19:27.575996667Z,-0.99658203125
2025-04-10T03:19:28.577344546Z,-0.9965057373046875
2025-04-10T03:19:29.583700389Z,-0.994537353515625
2025-04-10T03:19:30.581851523Z,-0.99517822265625
2025-04-10T03:19:31.571197051Z,-0.994171142578125
2025-04-10T03:19:32.582614337Z,-0.9950714111328125
2025-04-10T03:19:33.587725129Z,-0.994873046875
2025-04-10T03:19:34.591457869Z,-0.99627685546875
2025-04-10T03:19:35.592887888Z,-0.9954681396484375
2025-04-10T03:19:36.59651101Z,-0.9951934814453125
2025-04-10T03:19:37.596368289Z,-0.996124267578125
2025-04-10T03:19:38.60109872Z,-0.99542236328125
2025-04-10T03:19:39.599372345Z,-0.9954376220703125
2025-04-10T03:19:40.601213518Z,-0.9930419921875
2025-04-10T03:19:41.603582977Z,-0.9961700439453125
2025-04-10T03:19:42.607597358Z,-0.995574951171875
2025-04-10T03:19:43.61156789Z,-0.9953155517578125
2025-04-10T03:19:44.613713879Z,-0.9957733154296875
2025-04-10T03:19:45.622613088Z,-0.995880126953125
2025-04-10T03:19:46.618943181Z,-0.9951019287109375
2025-04-10T03:19:47.619172227Z,-0.9948272705078125
2025-04-10T03:19:48.624572118Z,-0.9957733154296875
2025-04-10T03:19:49.623618516Z,-0.9957733154296875
2025-04-10T03:19:50.629176428Z,-0.99542236328125
2025-04-10T03:19:51.628839731Z,-0.996124267578125
2025-04-10T03:19:52.633467209Z,-0.99481201171875
2025-04-10T03:19:53.637188339Z,-0.99456787109375
2025-04-10T03:19:54.633481665Z,-0.994720458984375
2025-04-10T03:19:55.636544997Z,-0.996185302734375
2025-04-10T03:19:56.640777569Z,-0.99517822265625
2025-04-10T03:19:57.644278803Z,-0.994293212890625
2025-04-10T03:19:58.645963449Z,-0.995941162109375
2025-04-10T03:19:59.645620347Z,-0.99505615234375
2025-04-10T03:20:00.649589038Z,-0.9951934814453125
2025-04-10T03:20:01.652494677Z,-0.9956207275390625
2025-04-10T03:20:02.653354293Z,-0.9951171875
2025-04-10T03:20:03.656716717Z,-0.9955902099609375
2025-04-10T03:20:04.659517777Z,-0.9958953857421875
2025-04-10T03:20:05.6626493Z,-0.995513916015625
2025-04-10T03:20:06.664356217Z,-0.996002197265625
2025-04-10T03:20:07.667912408Z,-0.9964599609375
2025-04-10T03:20:08.667801226Z,-0.9953155517578125
2025-04-10T03:20:09.678510464Z,-0.996063232421875
2025-04-10T03:20:10.672614959Z,-0.9946746826171875
2025-04-10T03:20:11.674409461Z,-0.995147705078125
2025-04-10T03:20:12.677680293Z,-0.9958343505859375
2025-04-10T03:20:13.681650705Z,-0.9954833984375
2025-04-10T03:20:14.681498778Z,-0.9948272705078125
2025-04-10T03:20:15.684082735Z,-0.996673583984375
2025-04-10T03:20:16.688979037Z,-0.995361328125
2025-04-10T03:20:17.691355236Z,-0.995513916015625
2025-04-10T03:20:18.688249148Z,-0.9957275390625
2025-04-10T03:20:19.693939103Z,-0.9958038330078125
2025-04-10T03:20:20.69402195Z,-0.99603271484375
2025-04-10T03:20:21.699222513Z,-0.995269775390625
2025-04-10T03:20:22.701197748Z,-0.9955291748046875
2025-04-10T03:20:23.7043572Z,-0.9958648681640625
2025-04-10T03:20:24.705269694Z,-0.9965057373046875
2025-04-10T03:20:25.70862673Z,-0.9951934814453125
2025-04-10T03:20:26.708895262Z,-0.9945068359375
2025-04-10T03:20:27.711873979Z,-0.994659423828125
2025-04-10T03:20:28.716856799Z,-0.9958648681640625
2025-04-10T03:20:29.717707497Z,-0.9955291748046875
2025-04-10T03:20:30.719383982Z,-0.996429443359375
2025-04-10T03:20:31.721732991Z,-0.9961395263671875
2025-04-10T03:20:32.723337963Z,-0.995330810546875
2025-04-10T03:20:33.724576841Z,-0.994293212890625
2025-04-10T03:20:34.723377907Z,-0.9954071044921875
2025-04-10T03:20:35.730250849Z,-0.9951171875
2025-04-10T03:20:36.733436506Z,-0.995391845703125
2025-04-10T03:20:37.733937098Z,-0.99481201171875
2025-04-10T03:20:38.733242553Z,-0.996795654296875
2025-04-10T03:20:39.738596236Z,-0.9952545166015625
2025-04-10T03:20:40.741673552Z,-0.996490478515625
2025-04-10T03:20:41.743249335Z,-0.9928436279296875
2025-04-10T03:20:42.744749625Z,-0.99627685546875
2025-04-10T03:20:43.747915372Z,-0.99639892578125
2025-04-10T03:20:44.747378334Z,-0.9957733154296875
2025-04-10T03:20:45.752028488Z,-0.9954681396484375
2025-04-10T03:20:46.754999692Z,-0.994659423828125
2025-04-10T03:20:47.75621046Z,-0.994842529296875
2025-04-10T03:20:48.761389138Z,-0.99554443359375
2025-04-10T03:20:49.762408532Z,-0.9939117431640625
2025-04-10T03:20:50.76492421Z,-0.9960479736328125
2025-04-10T03:20:51.767513995Z,-0.99468994140625
2025-04-10T03:20:52.771722835Z,-0.9952392578125
2025-04-10T03:20:53.771393834Z,-0.9943695068359375
2025-04-10T03:20:54.77463962Z,-0.9955291748046875
2025-04-10T03:20:55.776972931Z,-0.9961395263671875
2025-04-10T03:20:56.780490379Z,-0.9947662353515625
2025-04-10T03:20:57.782583246Z,-0.9947662353515625
2025-04-10T03:20:58.785215744Z,-0.9952392578125
