timestamp,x,y,z
589934,0.12,-0.43,-0.24
590037,0.12,-0.43,-0.24
590139,0.12,-0.43,-0.31
590242,0.12,-0.43,-0.18
590345,0.12,-0.43,-0.24
590449,0.18,-0.43,-0.31
590552,0.06,-0.37,-0.31
590654,0.18,-0.43,-0.24
590757,0.12,-0.37,-0.18
590860,0.12,-0.43,-0.24
590963,0.0,-0.37,-0.43
591066,-0.12,-0.43,-0.55
591169,0.0,-0.49,-0.43
591273,0.85,-0.37,0.49
591375,0.98,-0.24,0.67
591479,0.31,-0.43,-0.12
591582,0.49,-0.37,0.12
591685,0.24,-0.43,-0.18
591787,0.18,-0.43,-0.18
591891,0.24,-0.43,-0.24
591994,0.18,-0.43,-0.24
592097,0.18,-0.43,-0.12
592200,0.12,-0.37,-0.24
592304,0.31,-0.37,-0.18
592407,0.0,-0.49,-0.24
592510,0.18,-0.43,-0.24
592612,0.12,-0.37,-0.18
592715,0.18,-0.43,-0.18
592817,0.18,-0.43,-0.18
592921,0.12,-0.43,-0.24
593023,0.18,-0.43,-0.18
593127,0.12,-0.43,-0.24
593230,0.18,-0.43,-0.24
593333,0.18,-0.37,-0.18
593435,0.18,-0.43,-0.24
593538,0.06,-0.43,-0.31
593642,0.18,-0.43,-0.24
593745,0.18,-0.43,-0.24
593848,0.06,-0.43,-0.24
593951,0.06,-0.43,-0.24
594055,0.0,-0.43,-0.24
594158,0.18,-0.43,-0.24
594262,0.12,-0.43,-0.24
594364,0.18,-0.43,-0.24
594467,0.12,-0.43,-0.24
594570,0.18,-0.37,-0.18
594672,0.12,-0.43,-0.24
594775,0.12,-0.43,-0.24
594878,0.12,-0.43,-0.24
594982,0.18,-0.37,-0.24
595085,0.06,-0.49,-0.24
595189,0.18,-0.43,-0.24
595292,0.12,-0.43,-0.24
595395,0.06,-0.43,-0.24
595498,0.18,-0.37,-0.18
595602,0.06,-0.43,-0.24
595705,0.18,-0.37,-0.24
595808,0.06,-0.43,-0.24
595910,0.18,-0.43,-0.24
596013,0.06,-0.49,-0.24
596116,0.12,-0.43,-0.18
596219,0.12,-0.43,-0.24
596321,0.12,-0.43,-0.24
596424,0.12,-0.43,-0.31
596527,0.18,-0.43,-0.24
596630,0.12,-0.43,-0.24
596732,0.18,-0.43,-0.24
596836,0.12,-0.43,-0.24
596939,0.12,-0.43,-0.24
597043,0.12,-0.43,-0.24
597146,0.12,-0.43,-0.18
597250,0.18,-0.43,-0.18
597355,0.12,-0.43,-0.24
597459,0.18,-0.37,-0.18
597562,0.12,-0.43,-0.24
597666,0.12,-0.43,-0.31
597769,0.18,-0.43,-0.18
597873,0.06,-0.49,-0.24
597976,0.18,-0.43,-0.24
598080,0.12,-0.37,-0.24
598182,0.12,-0.43,-0.24
598286,0.18,-0.43,-0.24
598389,0.12,-0.43,-0.24
598493,0.12,-0.43,-0.24
598596,0.18,-0.43,-0.24
598701,0.06,-0.43,-0.31
598803,0.18,-0.43,-0.24
598906,0.0,-0.43,-0.18
599010,0.06,-0.43,-0.31
599113,0.31,-0.43,-0.18
599215,0.06,-0.43,-0.24
599320,0.24,-0.37,-0.31
599423,0.12,-0.37,-0.24
599527,0.18,-0.43,-0.18
599631,0.12,-0.37,-0.24
599734,0.12,-0.43,-0.24
599836,0.12,-0.43,-0.31
599939,0.12,-0.43,-0.18
600041,0.12,-0.37,-0.24
600145,0.12,-0.43,-0.24
600248,0.12,-0.43,-0.24
600352,0.12,-0.43,-0.24
600455,0.12,-0.43,-0.24
600559,0.12,-0.43,-0.24
600662,0.18,-0.37,-0.24
600765,0.12,-0.43,-0.31
600868,0.12,-0.37,-0.24
600972,0.12,-0.43,-0.24
601075,0.12,-0.43,-0.24
601178,0.12,-0.43,-0.24
601280,0.12,-0.43,-0.24
601384,0.12,-0.43,-0.24
601486,0.12,-0.43,-0.24
601589,0.12,-0.43,-0.24
601693,0.12,-0.43,-0.24
601796,0.12,-0.37,-0.24
601898,0.12,-0.43,-0.24
602002,0.12,-0.43,-0.24
602105,0.12,-0.37,-0.24
602208,0.18,-0.43,-0.24
602311,0.12,-0.37,-0.24
602415,0.18,-0.43,-0.18
602518,0.12,-0.43,-0.24
602621,0.18,-0.43,-0.24
602723,0.06,-0.43,-0.24
602826,0.12,-0.37,-0.24
602929,0.18,-0.37,-0.18
603033,0.06,-0.43,-0.24
603136,0.18,-0.37,-0.24
603240,0.12,-0.43,-0.24
603343,0.18,-0.43,-0.24
603446,0.12,-0.43,-0.24
603549,0.12,-0.43,-0.24
603652,0.12,-0.43,-0.18
603755,0.12,-0.43,-0.24
603859,0.12,-0.37,-0.24
603962,0.12,-0.43,-0.18
604065,0.12,-0.43,-0.24
604168,0.12,-0.43,-0.24
604272,0.12,-0.37,-0.24
604375,0.18,-0.43,-0.31
604478,0.18,-0.43,-0.24
604581,0.12,-0.43,-0.24
604684,0.12,-0.43,-0.18
604787,0.06,-0.49,-0.24
604889,0.18,-0.37,-0.24
604993,0.06,-0.43,-0.24
605096,0.12,-0.43,-0.18
605199,0.12,-0.43,-0.24
605301,0.12,-0.43,-0.24
605405,0.12,-0.37,-0.24
605508,0.12,-0.43,-0.24
605611,0.12,-0.43,-0.24
605714,0.06,-0.43,-0.24
605817,0.18,-0.43,-0.24
605920,0.12,-0.43,-0.24
606024,0.12,-0.43,-0.24
606126,0.12,-0.43,-0.24
606229,0.12,-0.43,-0.24
606332,0.06,-0.43,-0.24
606435,0.12,-0.43,-0.24
606537,0.12,-0.43,-0.24
606641,0.12,-0.43,-0.24
606745,0.06,-0.43,-0.24
606847,0.12,-0.43,-0.18
606950,0.06,-0.43,-0.24
607053,0.18,-0.43,-0.24
607156,0.12,-0.43,-0.24
607260,0.12,-0.43,-0.24
607363,0.18,-0.43,-0.24
607466,0.06,-0.43,-0.31
607569,0.18,-0.43,-0.24
607672,0.12,-0.43,-0.24
607776,0.18,-0.43,-0.24
607879,0.12,-0.43,-0.24
607982,0.12,-0.43,-0.24
608085,0.06,-0.43,-0.24
608188,0.12,-0.43,-0.24
608290,0.12,-0.43,-0.24
608394,0.12,-0.43,-0.24
608498,0.12,-0.37,-0.24
608602,0.18,-0.43,-0.24
608705,0.12,-0.43,-0.24
608809,0.12,-0.43,-0.24
608912,0.18,-0.43,-0.18
609015,0.12,-0.43,-0.24
609118,0.12,-0.43,-0.18
609220,0.12,-0.43,-0.24
609323,0.12,-0.43,-0.24
609426,0.12,-0.43,-0.24
609530,0.12,-0.37,-0.24
609632,0.12,-0.43,-0.24
609735,0.12,-0.43,-0.24
609838,0.18,-0.43,-0.24
609941,0.06,-0.43,-0.24
610045,0.12,-0.43,-0.24
610147,0.12,-0.49,-0.24
610250,0.12,-0.43,-0.24
610354,0.12,-0.43,-0.24
610456,0.18,-0.43,-0.24
610560,0.06,-0.43,-0.24
610662,0.18,-0.43,-0.18
610765,0.12,-0.43,-0.24
610869,0.12,-0.37,-0.24
610972,0.12,-0.43,-0.24
611076,0.18,-0.43,-0.24
611178,0.12,-0.43,-0.24
611282,0.12,-0.43,-0.24
611385,0.18,-0.43,-0.24
611488,0.12,-0.43,-0.24
611591,0.12,-0.43,-0.24
611694,0.06,-0.37,-0.24
611797,0.12,-0.37,-0.24
611901,0.12,-0.43,-0.24
612003,0.12,-0.43,-0.24
612107,0.12,-0.43,-0.24
612210,0.12,-0.43,-0.24
612314,0.12,-0.43,-0.24
612416,0.18,-0.43,-0.24
612519,0.12,-0.43,-0.24
612622,0.12,-0.43,-0.24
612725,0.12,-0.37,-0.18
612827,0.18,-0.43,-0.24
612930,0.12,-0.43,-0.24
613033,0.06,-0.43,-0.24
613136,0.12,-0.43,-0.24
613240,0.06,-0.43,-0.31
613343,0.18,-0.43,-0.24
613446,0.12,-0.43,-0.24
613549,0.18,-0.43,-0.18
613652,0.06,-0.43,-0.24
613756,0.12,-0.37,-0.24
613859,0.12,-0.37,-0.24
613963,0.12,-0.43,-0.24
614065,0.12,-0.43,-0.24
614168,0.18,-0.43,-0.24
614270,0.12,-0.49,-0.24
614373,0.12,-0.37,-0.18
614477,0.06,-0.43,-0.24
614580,0.12,-0.43,-0.24
614683,0.12,-0.43,-0.18
614786,0.06,-0.43,-0.24
614889,0.12,-0.43,-0.24
614992,0.12,-0.43,-0.24
615095,0.18,-0.43,-0.24
615198,0.12,-0.43,-0.24
615301,0.18,-0.43,-0.24
615404,0.12,-0.43,-0.24
615506,0.18,-0.43,-0.24
615609,0.12,-0.43,-0.24
615713,0.12,-0.43,-0.24
615816,0.12,-0.43,-0.24
615920,0.12,-0.43,-0.24
616023,0.12,-0.43,-0.24
616126,0.18,-0.43,-0.24
616229,0.18,-0.43,-0.24
616332,0.06,-0.43,-0.24
616435,0.12,-0.43,-0.24
616538,0.12,-0.37,-0.24
616642,0.12,-0.43,-0.24
616745,0.12,-0.37,-0.24
616848,0.06,-0.43,-0.24
616951,0.12,-0.43,-0.24
617054,0.18,-0.43,-0.24
617158,0.12,-0.43,-0.24
617261,0.12,-0.43,-0.24
617365,0.06,-0.43,-0.24
617468,0.12,-0.43,-0.31
617571,0.12,-0.43,-0.31
617674,0.12,-0.43,-0.24
617777,0.12,-0.43,-0.24
617880,0.18,-0.43,-0.18
617983,0.18,-0.43,-0.24
618086,0.12,-0.43,-0.24
618188,0.18,-0.43,-0.24
618292,0.18,-0.43,-0.24
618395,0.12,-0.37,-0.24
618497,0.12,-0.43,-0.24
618600,0.18,-0.43,-0.24
618703,0.12,-0.43,-0.24
618805,0.12,-0.43,-0.24
618907,0.12,-0.37,-0.24
619009,0.12,-0.43,-0.24
619112,0.18,-0.43,-0.24
619214,0.18,-0.43,-0.18
619316,0.12,-0.43,-0.24
619420,0.12,-0.43,-0.24
619523,0.12,-0.37,-0.24
619626,0.18,-0.43,-0.24
619728,0.12,-0.43,-0.24
619831,0.12,-0.43,-0.24
619934,0.12,-0.37,-0.24
620038,0.12,-0.43,-0.24
620141,0.12,-0.43,-0.24
620244,0.12,-0.43,-0.24
620347,0.12,-0.43,-0.24
620451,0.12,-0.43,-0.18
620553,0.12,-0.37,-0.24
620655,0.12,-0.37,-0.24
620758,0.12,-0.37,-0.24
620861,0.12,-0.43,-0.24
620965,0.06,-0.37,-0.24
621068,0.06,-0.43,-0.24
621171,0.12,-0.43,-0.24
621273,0.12,-0.37,-0.24
621376,0.12,-0.43,-0.24
621480,0.18,-0.37,-0.24
621582,0.12,-0.37,-0.24
621685,0.18,-0.43,-0.24
621788,0.12,-0.37,-0.24
621891,0.12,-0.43,-0.24
621995,0.12,-0.43,-0.24
622097,0.12,-0.49,-0.24
622201,0.12,-0.43,-0.24
622304,0.12,-0.43,-0.24
622406,0.18,-0.43,-0.24
622509,0.18,-0.43,-0.18
622613,0.12,-0.43,-0.24
622716,0.18,-0.43,-0.24
622819,0.06,-0.43,-0.31
622921,0.06,-0.43,-0.24
623026,0.12,-0.43,-0.24
623129,0.12,-0.43,-0.18
623232,0.06,-0.43,-0.24
623335,0.12,-0.43,-0.24
623437,0.12,-0.43,-0.24
623541,0.12,-0.43,-0.18
623644,0.12,-0.43,-0.18
623747,0.12,-0.43,-0.24
623850,0.12,-0.43,-0.24
623953,0.12,-0.43,-0.24
624056,0.12,-0.43,-0.24
624159,0.12,-0.43,-0.24
624263,0.12,-0.43,-0.24
624366,0.12,-0.43,-0.24
624470,0.12,-0.43,-0.31
624572,0.12,-0.43,-0.24
624675,0.12,-0.43,-0.24
624778,0.12,-0.43,-0.24
624882,0.12,-0.43,-0.24
624985,0.06,-0.43,-0.24
625088,0.12,-0.43,-0.24
625190,0.12,-0.43,-0.24
625294,0.12,-0.37,-0.24
625397,0.12,-0.43,-0.24
625499,0.18,-0.43,-0.24
625602,0.12,-0.43,-0.24
625706,0.12,-0.43,-0.24
625808,0.12,-0.43,-0.24
625911,0.18,-0.43,-0.24
626014,0.12,-0.43,-0.24
626118,0.12,-0.43,-0.18
626220,0.18,-0.43,-0.24
626324,0.18,-0.43,-0.24
626427,0.12,-0.43,-0.24
626530,0.12,-0.43,-0.24
626633,0.12,-0.43,-0.24
626735,0.12,-0.43,-0.24
626838,0.12,-0.43,-0.18
626941,0.12,-0.43,-0.24
627044,0.12,-0.43,-0.24
627147,0.06,-0.43,-0.18
627250,0.12,-0.43,-0.24
627353,0.12,-0.43,-0.24
627456,0.06,-0.37,-0.24
627559,-0.06,-0.37,-0.24
627663,-0.06,-0.37,-0.31
627766,-0.18,-0.37,-0.43
627869,-0.18,-0.37,-0.37
627972,0.06,-0.31,-0.43
628074,0.06,-0.43,-0.37
628177,0.12,-0.18,0.12
628280,0.18,-0.49,-0.18
628382,0.06,-0.43,-0.24
628485,0.12,-0.31,-0.18
628587,0.06,-0.43,-0.31
628689,0.12,-0.37,-0.24
628791,0.12,-0.43,-0.18
628895,0.12,-0.37,-0.24
628997,0.06,-0.43,-0.24
629100,0.06,-0.43,-0.24
629203,0.12,-0.43,-0.24
629306,0.06,-0.43,-0.24
629408,0.0,-0.43,-0.24
629511,0.12,-0.43,-0.31
629614,0.12,-0.43,-0.31
629717,0.18,-0.43,-0.24
629819,0.12,-0.43,-0.24
629921,0.12,-0.43,-0.24
630676,0.18,-0.43,-0.18
630778,0.31,-0.43,-0.06
630882,0.12,-0.43,-0.24
630985,0.12,-0.43,-0.24
631088,0.55,-0.37,-0.18
631191,26.73,-1.34,-2.26
631294,3.42,-8.0,-1.4
631397,0.43,-0.37,-0.24
631499,-2.08,-0.85,-0.31
631603,152.83,-10.74,-13.24
631706,-15.81,4.33,1.28
631809,-134.28,-33.69,4.7
631912,1.83,-3.54,-14.89
632015,-19.59,4.94,-54.63
