x,y,z
-138.672,-387.146,213.318
139.954,105.103,-111.389
39.246,284.302,-54.626
-209.351,-296.57,349.243
-86.975,-14.954,29.907
-114.197,115.234,-19.165
53.345,31.921,440.125
-175.598,3.357,-61.218
-81.116,-261.963,-34.363
133.24,23.56,-26.794
86.121,404.663,-291.443
-86.792,-295.776,20.325
27.771,5.371,-14.526
-59.143,389.16,-23.438
-166.809,-119.446,362.366
-233.521,-3.479,54.932
-56.213,60.913,-75.989
0.427,-26.489,160.767
-6.042,-160.767,183.167
-161.926,-341.064,333.069
-30.518,90.881,71.899
-1.587,-272.278,33.63
79.346,-26.245,-54.382
78.186,122.498,-11.841
22.278,7.141,-24.902
-51.819,-31.738,46.143
10.437,-7.263,21.545
-11.414,25.635,-19.348
-2.93,7.446,-11.597
-41.26,13.306,-10.559
10.376,-9.949,8.484
-19.714,11.047,-7.019
18.555,-6.287,1.099
12.939,-17.334,58.655
30.212,-44.678,17.822
19.47,-165.344,149.109
-0.732,-0.183,-0.122
-0.183,-0.366,-0.244
-0.366,-0.427,-0.183
-1.709,-0.549,-0.427
0.122,-0.549,-0.305
0.061,-0.305,-0.244
0.122,-0.366,-0.244
0.0,-0.366,-0.244
-0.061,-0.488,-0.244
-0.061,-0.427,-0.183
0.0,-0.427,-0.244
-0.366,-0.488,-0.183
0.61,-0.305,-0.244
-1.953,-0.977,-0.366
0.488,-0.366,-0.183
0.061,-0.488,-0.183
0.122,-0.427,-0.183
0.122,-0.427,-0.183
0.244,-0.427,-0.244
0.122,-0.427,-0.244
0.061,-0.427,-0.183
-0.183,-0.488,-0.183
0.305,-0.427,-0.244
0.183,-0.427,-0.244
0.122,-0.427,-0.244
0.061,-0.427,-0.183
0.122,-0.366,-0.244
0.0,-0.488,-0.244
0.183,-0.427,-0.183
0.183,-0.427,-0.183
0.122,-0.427,-0.183
0.122,-0.427,-0.183
0.183,-0.427,-0.244
0.122,-0.427,-0.244
0.122,-0.427,-0.183
0.061,-0.427,-0.183
0.122,-0.427,-0.183
0.244,-0.427,-0.183
0.305,-0.427,-0.183
0.061,-0.427,-0.244
0.122,-0.427,-0.244
4.456,14.099,-6.592
-122.375,-115.54,29.724
-150.94,-221.008,55.42
26.978,-0.427,-12.817
49.377,-3.845,-81.604
-5.981,1.587,5.371
1.892,-26.123,0.793
-6.226,-10.193,-45.41
5.432,-13.733,-28.992
17.883,-1.343,-46.692
3.479,46.57,-43.884
14.648,-33.203,-76.904
1.77,-7.446,-17.761
-18.494,33.447,134.46
-47.485,-4.272,-19.47
0.366,12.939,1.16
0.244,-0.488,-0.183
0.427,-0.488,-0.183
0.244,-0.427,-0.183
0.122,-0.427,-0.183
0.122,-0.427,-0.244
0.122,-0.427,-0.244
0.183,-0.366,-0.183
0.122,-0.488,-0.244
0.061,-0.427,-0.244
0.122,-0.488,-0.244
0.183,-0.427,-0.244
0.183,-0.427,-0.244
0.183,-0.427,-0.244
0.122,-0.488,-0.244
0.183,-0.427,-0.183
0.183,-0.427,-0.244
0.549,-0.427,-0.244
0.183,-0.427,-0.183
0.122,-0.427,-0.244
0.183,-0.427,-0.183
0.122,-0.488,-0.244
0.0,-0.488,-0.244
0.122,-0.427,-0.244
0.366,-0.488,-0.183
0.061,-0.427,-0.244
0.122,-0.427,-0.244
0.122,-0.427,-0.244
0.122,-0.427,-0.183
0.122,-0.427,-0.183
0.122,-0.427,-0.244
0.183,-0.427,-0.183
0.122,-0.488,-0.244
0.122,-0.427,-0.244
0.183,-0.488,-0.244
0.305,-0.427,-0.183
0.549,-0.427,-0.183
0.122,-0.427,-0.183
0.244,-0.488,-0.183
0.183,-0.427,-0.244
0.122,-0.427,-0.244
0.122,-0.488,-0.244
0.122,-0.427,-0.244
0.183,-0.427,-0.183
0.122,-0.488,-0.244
0.183,-0.427,-0.244
0.061,-0.488,-0.244
0.122,-0.427,-0.244
0.061,-0.427,-0.244
0.061,-0.488,-0.244
0.061,-0.427,-0.244
0.122,-0.488,-0.244
0.183,-0.488,-0.244
0.244,-0.427,-0.244
0.244,-0.427,-0.244
0.061,-0.488,-0.244
0.122,-0.488,-0.244
0.122,-0.427,-0.244
0.122,-0.427,-0.183
0.244,-0.427,-0.244
0.305,-0.427,-0.183
0.183,-0.427,-0.244
0.183,-0.488,-0.244
0.244,-0.427,-0.244
0.122,-0.488,-0.244
0.427,-0.366,-0.244
0.366,-0.427,-0.183
0.122,-0.427,-0.244
0.183,-0.427,-0.183
0.122,-0.427,-0.244
0.122,-0.427,-0.244
-0.061,-0.488,-0.244
0.061,-0.427,-0.244
0.122,-0.427,-0.244
0.061,-0.488,-0.183
0.061,-0.427,-0.244
0.244,-0.427,-0.244
0.061,-0.427,-0.244
0.183,-0.427,-0.244
0.183,-0.488,-0.244
0.183,-0.488,-0.244
0.183,-0.427,-0.244
0.183,-0.427,-0.244
0.183,-0.488,-0.244
0.183,-0.427,-0.244
0.183,-0.427,-0.244
0.122,-0.427,-0.244
0.122,-0.488,-0.244
0.122,-0.427,-0.244
0.122,-0.488,-0.244
0.061,-0.488,-0.244
0.122,-0.488,-0.244
-0.305,-0.488,-0.183
0.122,-0.488,-0.244
0.061,-0.488,-0.244
0.0,-0.427,-0.244
0.122,-0.427,-0.244
0.122,-0.427,-0.244
0.244,-0.488,-0.244
0.183,-0.488,-0.244
0.244,-0.488,-0.244
0.183,-0.427,-0.244
0.061,-0.488,-0.183
0.183,-0.488,-0.244
0.244,-0.488,-0.244
0.244,-0.488,-0.244
0.122,-0.488,-0.244
0.061,-0.488,-0.244
0.122,-0.488,-0.244
0.244,-0.427,-0.244
0.122,-0.488,-0.244
0.061,-0.488,-0.244
0.244,-0.488,-0.244
0.122,-0.488,-0.244
0.122,-0.488,-0.244
0.122,-0.427,-0.244
0.061,-0.427,-0.244
0.183,-0.488,-0.244
0.061,-0.488,-0.244
0.244,-0.488,-0.244
0.305,-0.488,-0.244
0.244,-0.488,-0.183
0.366,-0.427,-0.244
0.122,-0.488,-0.244
0.183,-0.488,-0.244
0.183,-0.488,-0.244
0.061,-0.488,-0.244
0.0,-0.549,-0.244
-7.935,8.057,-7.141
-1.16,-0.244,-1.404
4.028,18.86,-5.005
1.343,-2.136,-1.648
-23.621,6.348,-56.885
-84.351,-124.634,86.243
220.032,205.627,60.425
-56.458,113.098,-15.991
-82.764,-196.411,-39.124
-9.277,-151.917,-57.434
28.32,118.774,50.964
131.287,117.188,88.501
48.34,208.252,125.0
-42.786,-44.25,-145.63
-36.743,-201.355,-109.375
-15.747,-35.217,28.992
76.477,63.354,-13.977
5.737,156.738,54.321
-14.526,-7.324,-7.812
16.479,-135.925,8.667
5.371,-147.583,-6.714
-19.958,-115.967,-2.441
59.692,42.297,-16.907
-12.451,92.224,10.193
102.6,159.302,39.856
82.336,179.504,21.667
46.692,180.115,46.204
23.254,150.574,24.963
-42.175,-268.616,-50.781
-40.466,-132.446,-13.916
27.283,70.251,-0.916
-6.958,221.924,48.889
18.616,114.258,55.969
-93.567,-244.019,-70.374
232.971,7.935,70.923
-51.086,-22.644,-2.38
15.32,9.399,-4.456
23.865,22.644,-1.343
16.357,-2.38,-13.0
-4.517,-2.38,0.305
1.587,-0.061,0.183
0.366,-0.549,0.0
0.122,-0.305,-0.244
-30.029,154.48,-93.933
-115.723,-384.277,125.0
135.437,308.167,-187.927
-30.457,-221.863,2.38
-25.085,-159.607,95.703
22.949,137.207,-11.292
